Category,WorkingArea,Level,LastUsed,YearsOfExp
Technologies,python,0,2023,5
Technologies,spark,0,2023,1
Technologies,databricks,0,2023,1
Technologies,GDB,0,2023,1
Technologies,DFSU,0,2023,1
Technologies,segy,0,2023,1
Technologies,xtf,0,2023,1
Technologies,sedona,0,2023,1
Technologies,geospark,0,2023,1
Technologies,parquet,0,2023,1
Technologies,geohashing,0,2023,1
Technologies,pandas,0,2022,3
Technologies,Azure Service Bus,0,2022,3
Technologies,MS SQL Server,0,2022,3
Technologies,REST API,0,2022,3
Technologies,sqlalchemy,0,2022,3
Technologies,SQLite,0,2022,3
Technologies,streamlit,0,2022,3
Technologies,Panel,0,2022,3
Technologies,Dash,0,2022,3
Technologies,bokeh,0,2022,3
Technologies,SAFE,0,2022,3
Technologies,Azure DevOps,0,2022,3
Technologies,Docker,0,2022,3
Technologies,Kubernetes,0,2022,3
Technologies,Oracle,0,2019,1
Technologies,Groovy,0,2019,1
Technologies,REST,0,2019,1
Technologies,JavaScript,0,2019,1
Technologies,Jira,0,2019,1
Technologies,Git,0,2019,1
Technologies,SCRUM,0,2019,1
Technologies,lidar,0,2018,2
Technologies,image processing,0,2018,2
Technologies,C#,0,2018,2
Technologies,PostgreSQL,0,2018,2
Technologies,PostGIS,0,2018,2
Technologies,QGIS,0,2018,2
Technologies,Qt,0,2018,2
Technologies,C,0,2014,1
Technologies,EtherCAT,0,2014,1
Technologies,PROFINET,0,2014,1
Technologies,PCB design,0,2013,1
