category,name,level,last_used,years_of_experience,attractiveness
Software Development,Full Stack,3,2022,3,5
Software Development,Frontend,3,2022,2,5
Software Development,Data Modeling,4,2022,4,4
Software Development,Data Transformation,4,2022,4,4
Software Development,Data Science,3,2022,2,5
Software Development,Big Data,3,2023,1,5
Software Development,Unit Testing,4,2023,4,5
databases,PostgreSQL,3,2020,2,4
databases,Oracle,2,2019,1,3
databases,Microsoft SQL Server,3,2023,2,4
databases,SQLite,4,2022,3,3
databases,PostGIS,3,2018,2,3
development tools,Kubernetes,3,2022,2,5
development tools,Atlassian Jira,2,2019,2,3
development tools,Git,4,2023,5,5
industries,Renewable Energy,3,2022,4,4
industries,Counselling,3,2023,3,2
industries,Electronics,2,2014,1,3
industries,Offshore Wind Energy,4,2023,4,4
methodologies,Data Engineering,4,2023,5,5
methodologies,DevOps,4,2023,3,5
methodologies,Data Visualization,3,2023,4,5
methodologies,SAFe,4,2019,3,3
methodologies,Scrum,4,2023,4,5
methodologies,Agile,4,2023,4,3
methodologies,Web Scraping,2,2019,1,3
methodologies,Containerization,2,2022,3,5
methodologies,CI/CD,4,2023,4,5
platforms,.NET,3,2020,2,4
platforms,Microsoft Azure,4,2023,3,5
platforms,Linux,3,2022,4,5
platforms,Xamarin,2,2018,1,1
platforms,AWS,2,2018,1,3
programming languages,Python,5,2023,6,5
programming languages,C#,4,2020,2,4
programming languages,SQL,4,2023,4,5
programming languages,Groovy,3,2019,1,2
programming languages,JavaScript,3,2019,2,5
technologies,GIS,4,2023,2,2
technologies,Machine Learning (ML),3,2018,2,5
technologies,Docker,3,2022,2,5
technologies,Azure Data Factory,4,2023,1,4
technologies,Flask,3,2019,1,4
technologies,REST,4,2022,4,5
technologies,Django,3,2020,2,5
technologies,Amazon S3,3,2020,1,4
technologies,Spark,4,2023,2,5
technologies,Azure Service Bus,3,2022,2,4
technologies,Pandas,4,2022,5,5
technologies,React,1,2019,1,5
technologies,Svelte,1,2023,1,4
