Category,WorkingArea,Level,LastUsed,YearsOfExp
Software Development,Full Stack,3,2022,3
Software Development,Frontend,3,2022,2
Software Development,Data Modeling,4,2022,4
Software Development,Data Transformation,4,2022,4
Software Development,Data Science,3,2022,2
Software Development,Big Data,3,2023,1
Software Development,Unit Testing,4,2023,4
databases,PostgreSQL,3,2020,2
databases,Oracle,2,2019,1
databases,Microsoft SQL Server,3,2023,2
databases,SQLite,4,2022,3
databases,PostGIS,3,2018,2
development tools,Kubernetes,3,2022,2
development tools,Atlassian Jira,2,2019,2
development tools,Git,4,2023,5
industries,Renewable Energy,3,2022,4
industries,Counselling,3,2023,3
industries,Electronics,2,2014,1
industries,Offshore Wind Energy,4,2023,4
methodologies,Data Engineering,4,2023,5
methodologies,DevOps,4,2023,3
methodologies,Data Visualization,3,2023,4
methodologies,SAFe,4,2019,3
methodologies,Scrum,4,2023,4
methodologies,Agile Software Development,4,2023,4
methodologies,Web Scraping,2,2019,1
methodologies,Containerization,2,2022,3
methodologies,CI/CD,4,2023,4
platforms,.NET,3,2020,2
platforms,Microsoft Azure,4,2023,3
platforms,Linux,3,2022,4
platforms,Xamarin,2,2018,1
platforms,AWS,2,2018,1
programming languages,Python,5,2023,6
programming languages,C#,4,2020,2
programming languages,SQL,4,2023,4
programming languages,Groovy,3,2019,1
programming languages,JavaScript,3,2019,2
technologies,Geographical Information Systems (GIS),4,2023,2
technologies,Machine Learning (ML),3,2018,2
technologies,Docker,3,2022,2
technologies,Microsoft Azure Data Factory,4,2023,1
technologies,Flask,3,2019,1
technologies,REST,4,2022,4
technologies,Django,3,2020,2
technologies,Amazon S3,3,2020,1
technologies,Spark,4,2023,2
technologies,Microsoft Azure Service Bus,3,2022,2
technologies,Pandas (Python),4,2022,5
technologies,React,1,2019,1
technologies,Svelte,1,2023,1
