name,owner,commits,number_of_weeks_with_commits,last_commit,languages,technologies
Aander-android-app,Grusinator,0,0,2017-09-28 20:57:20,"['Python', 'C', 'Makefile', 'Shell', 'C++', 'Objective-C', 'Assembly', 'TeX', 'HTML', 'Java', 'M4', 'CMake', 'Roff', 'Perl', 'Batchfile', 'PLSQL', 'Emacs Lisp', 'Inno Setup', 'JavaScript', 'DIGITAL Command Language', 'PowerShell', 'Vim Script', 'CSS', 'Ruby', 'GLSL', 'Visual Basic']",[]
Aander-backend,Grusinator,0,0,2018-04-06 07:30:39,['Python'],[]
Aander-ETL,Grusinator,0,0,2017-09-28 21:06:18,"['Jupyter Notebook', 'Python']",[]
ai-test-project,Grusinator,14,1,2024-03-11 07:23:10,['Python'],[]
BirdClassification,Grusinator,0,0,2018-04-16 19:01:48,"['Python', 'Jupyter Notebook', 'Shell', 'Batchfile', 'Makefile']",[]
build-it,Grusinator,4,1,2023-08-12 11:23:25,"['Python', 'JavaScript', 'HTML']",[]
ChangeDetection,Grusinator,0,0,2023-10-30 05:31:11,['Python'],[]
co-opinion,Grusinator,11,1,2023-08-05 09:59:01,"['TypeScript', 'Svelte', 'CSS', 'JavaScript', 'HTML', 'SCSS']",[]
cv-builder,Grusinator,5,2,2024-05-26 20:18:23,"['TeX', 'Python']",[]
development-workforce,Grusinator,21,4,2024-02-15 19:51:13,['Python'],[]
django-celery-model,Grusinator,0,0,2021-02-20 08:29:15,"['Python', 'Makefile']",[]
django-generic-serializer,Grusinator,0,0,2020-02-24 11:29:22,['Python'],[]
django-json2model,Grusinator,0,0,2021-02-27 07:12:57,['Python'],[]
django-mutant,Grusinator,0,0,2021-02-20 08:41:25,['Python'],[]
GeoFileHandle,Grusinator,0,0,2023-01-28 16:59:34,['Python'],[]
gotta-process-em-all,Grusinator,0,0,2022-10-26 14:13:48,['Python'],[]
HuntingTrainerVR,Grusinator,5,3,2024-02-11 11:24:27,"['ShaderLab', 'C#', 'HLSL', 'Rich Text Format']",[]
meta-data-client,Grusinator,0,0,2020-02-20 12:47:49,"['Jupyter Notebook', 'Python']",[]
MetaDataApi,Grusinator,0,0,2023-07-07 12:25:36,"['CSS', 'Python', 'JavaScript', 'HTML', 'Jupyter Notebook', 'PowerShell', 'Shell', 'Dockerfile', 'TSQL']",[]
NaGeoS_lib,Grusinator,0,0,2023-01-28 16:59:34,['Python'],[]
open-collective,Grusinator,7,2,2023-03-19 19:19:41,"['Python', 'HTML', 'CSS', 'Dockerfile']",[]
optimize-life,Grusinator,0,0,2022-12-01 06:34:54,['Python'],[]
personal-data-api,Grusinator,0,0,2023-01-28 18:07:33,"['Python', 'JavaScript', 'HTML', 'CSS', 'PowerShell']",[]
PersonalDataApp,Grusinator,0,0,2018-08-19 19:58:12,['C#'],[]
rpi-window-controller,Grusinator,0,0,2019-12-07 11:03:48,"['Python', 'Shell']",[]
RPI_wildlife_tracker,Grusinator,0,0,2018-02-04 16:52:28,['Python'],[]
EITC-route-planning,mhthNet,0,0,2024-05-17 10:15:11,"['JavaScript', 'C#', 'HTML', 'CSS', 'ASP']",[]
